bin_left,count,model,rmse
0,427,XGBoost,54137.25589951183
250000,1848,XGBoost,56881.17829029452
500000,1025,XGBoost,75113.59242686866
750000,412,XGBoost,130822.47663532766
1000000,110,XGBoost,183234.69327820223
1250000,81,XGBoost,201817.62214926418
1500000,35,XGBoost,255749.70128758912
1750000,19,XGBoost,353933.43406293803
2000000,10,XGBoost,292224.0717634463
2250000,8,XGBoost,392626.5228363545
2500000,6,XGBoost,570799.9326953405
2750000,5,XGBoost,792686.8651766381
3000000,4,XGBoost,543827.0384033822
3250000,3,XGBoost,545457.916336395
3500000,2,XGBoost,840739.1559599692
3750000,1,XGBoost,1065285.5
4000000,1,XGBoost,885856.0
4250000,1,XGBoost,1315540.0
5000000,1,XGBoost,495278.5
0,427,Neighbor median,96364.77332998355
250000,1848,Neighbor median,97589.37363732241
500000,1025,Neighbor median,134088.53255677302
750000,412,Neighbor median,244222.91282714545
1000000,110,Neighbor median,391543.00925041776
1250000,81,Neighbor median,539341.5627846377
1500000,35,Neighbor median,753164.0719633595
1750000,19,Neighbor median,913309.9051526814
2000000,10,Neighbor median,1282556.8531414114
2250000,8,Neighbor median,1134796.3941826746
2500000,6,Neighbor median,1344333.0789217877
2750000,5,Neighbor median,1829125.9148839372
3000000,4,Neighbor median,2134821.4613580685
3250000,3,Neighbor median,2453238.713924921
3500000,2,Neighbor median,2543218.089350577
3750000,1,Neighbor median,2987500.0
4000000,1,Neighbor median,3545500.0
4250000,1,Neighbor median,2864000.0
5000000,1,Neighbor median,4095800.0
