OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,x,y,Longitude,Latitude
1,2319,734385.0,64,US Dept of Homeland Security,US Dept of Homeland Security,12500 Tukwila International Blvd,98168.0,1280006.10755469,182336.67515035,-122.2911875362231,47.49050762763004
2,1563,880543.0,62,District Court - Bellevue,DC-Bellevue,1309 114th Ave SE,98004.0,1305928.32375477,221441.183227271,-122.18914157665142,47.59899347576001
3,3300016,446015.0,330,Bloodworks Northwest - Seattle Central,Bloodworks NW,921 Terry Ave,98104.0,1272144.94611169,225517.076978356,-122.3263661412058,47.60845140492053
4,3300044,983761.0,330,St. Elizabeth Hospital,St. Elizabeth Hospital,1455 Battersby Ave,98022.0,1353473.79264003,78455.9800250232,-121.98775975970064,47.209180055820504
5,650027,784747.0,65,West Hill Storefront,West Hill,12629 Renton Ave S,98178.0,1292801.30899836,182013.950074017,-122.23941905873548,47.49027570751686
6,650029,707661.0,65,Auburn Police Department,Auburn PD,340 E Main St,98002.0,1295260.68367277,115224.541002184,-122.2245896690045,47.30732646820553
7,650030,112265.0,65,Bellevue Police Department,Bellevue PD,450 110th Ave NE,98004.0,1305249.21914186,227098.804129854,-122.19229859311649,47.61446853681363
8,650032,0.0,65,Factoria Police Substation,Factoria Police Substation,4051 Factoria Blvd SE,98006.0,1309870.92610577,212333.107939526,-122.1725215740862,47.57421684584243
9,650061,536612.0,65,Redmond Police Department,Redmond PD,8701 160th Ave NE,98052.0,1321063.59991461,250733.549839273,-122.12980450072001,47.68000119818739
10,650062,588381.0,65,Renton Police Department,Renton PD,1055 S Grady Way,98057.0,1301237.09790103,176142.06614852,-122.2048807945561,47.47459795190593
11,650065,478814.0,65,Seattle Police Southwest Precinct,SPD SW Precinct,2300 SW Webster St,98106.0,1262856.00209118,199231.664982349,-122.36189882469569,47.53590416137029
12,650067,840695.0,65,Seattle Police West Precinct,SPD West Precinct,810 Virginia St,98101.0,1269684.4999171,228404.578093097,-122.33656729556297,47.61623465522884
13,650068,486615.0,65,Seattle Police South Precinct,SPD South Precinct,3001 S Myrtle St,98108.0,1279792.73987119,199881.227987692,-122.29339666867918,47.53858613829945
14,3400012,879919.0,340,Kent East Hill Public Health Center,East Hill Public Health Center,25742 104th Ave SE,98030.0,1301589.84129003,138295.995515361,-122.20073571723866,47.37087711415886
15,3400013,805031.0,340,Kent Birch Creek Public Health Center,Birch Creek Public Health Center,13111 SE 274th St,98030.0,1310052.23840719,132567.998113111,-122.16619063822472,47.35558333572297
16,6007298,0.0,600,Gowe St Park,Gowe St Park,Gowe St & Kennebeck Ave S,98032.0,1294939.9100361,142094.684112191,-122.22784477471865,47.38096234595249
17,10000279,,800,St. Demetrios Greek Orthodox Church,St. Demetrios Greek Orthodox Church,2100 BOYER AVE E,98112.0,1276950.93814011,236496.580937937,-122.30773938317482,47.63880000615043
18,10000280,,800,Crown Hill Church of Christ,Church of Christ,9257 14TH AVE NW,98117.0,1260925.56861611,258286.592804015,-122.37449955580898,47.69766481469415
19,10000281,,800,Scottish Rite Masonic Center,Scottish Rite Masonic Center,1207 N 152ND ST,98133.0,1268962.85076986,273045.161055848,-122.34304315677463,47.738553893966504
20,10000282,,800,St. Dunstan's Church,St. Dunstan's Church,722 N 145TH ST,98133.0,1267415.71541269,271633.631726682,-122.34921660728081,47.734601596666636
21,10000284,,800,Rainbow Lei Zang Temple,Rainbow Lei Zang Temple,14310 476TH AVE SE,98045.0,1424841.59150518,172856.885382935,-121.7049632897084,47.470531074426965
22,10000285,,800,Hope Church NW,Hope Church NW,200 SW LANGSTON RD,98057.0,1297733.16396402,178530.053498521,-122.21922055708436,47.480971458396745
23,10000286,,800,Redemption Church,Redemption Church,6350 E GREEN LAKE WAY N,98103.0,1270918.02008785,249796.700006932,-122.33325731712763,47.67493569335033
24,10000287,,800,Highline United Methodist Church,United Methodist Church,13015 1ST AVE S,98168.0,1269326.94617027,181013.856929854,-122.33426940772425,47.48631902786244
25,10000288,,800,Heartwood Church,Heartwood Church,19320 SE 240TH ST,98042.0,1330735.77643636,144030.30491285,-122.08350912859775,47.38795418160733
26,10000289,,800,Burton Community Church,Community Church,23905 VASHON HWY SW,98070.0,1235943.58478752,146531.433112681,-122.46629621057394,47.38994210317064
27,10000290,,800,Auburn Victory Fellowship,Victory Fellowship,610 8TH ST NE,98002.0,1296005.50862668,117870.478295609,-122.22178047827245,47.3146159202457
28,10000291,,800,The Church of Jesus Christ LDS,The Church of Jesus Christ LDS,625 M ST NE,98002.0,1297754.6012571,117641.430853441,-122.21471419270792,47.31407438280637
29,10000292,,800,Queen Anne Baptist Church,Baptist Church,2011 1ST AVE N,98109.0,1265042.03118369,236025.791525185,-122.35599791483091,47.63687388815499
30,10000293,,800,North Seattle Church of the Nazarene,Church of the Nazarene,13130 5TH AVE NE,98125.0,1273878.22742203,267820.934627682,-122.32265961471242,47.72449707383869
31,10000295,,800,Full Gospel Pentecostal Church,Full Gospel Pentecostal Church,5071 DELRIDGE WAY SW,98106.0,1262638.40475735,206380.542744935,-122.36335488841905,47.555487027590154
32,10000300,,800,Cedar Park Church,Cedar Park Church,16300 112TH AVE NE,98011.0,1306811.77835269,275324.868438691,-122.18940962995461,47.74673445564484
33,10000301,,800,Kirkland Family Church,Family Church,10489 NE 52ND ST,98033.0,1303966.25517236,241651.279618025,-122.19854601997267,47.654295474097076
34,10000904,,800,Prince of Peace Lutheran Church,Prince of Peace Lutheran Church,14514 20TH AVE NE,98155.0,1277811.47906995,271320.860698685,-122.30695415525396,47.73429782834934
35,10000905,,800,Congregation Ezra Bessaroth,Congregation Ezra Bessaroth,5412 WILSON AVE S,98118.0,1286429.7797467,204999.80042769,-122.266917466596,47.55295824533106
36,10000906,,800,Beacon Hill Church of the Nazarene,Church of the Nazarene,4352 15TH AVE S,98108.0,1275125.94835177,209179.74318327,-122.3130103167853,47.563828941564545
37,10000302,,800,Lake East Christian Church,Christian Church,5241 116TH AVE NE,98033.0,1307031.8582931,241884.879216433,-122.18612597656616,47.65508419107049
38,9010039,749494.0,901,Green Lake Community Center Ballot Drop Box,Green Lake Community Center (180),7201 E Green Lake Dr N,98115.0,1272132.45991619,251774.55005385,-122.3284846918761,47.68042169428458
39,10000311,,800,Valley and Mountain Church,Valley and Mountain Church,3515 S ALASKA ST,98118.0,1281282.68242936,207836.469951183,-122.28797449124795,47.56046880596104
40,10000323,,800,St. Madeleine Sophie Catholic Parish,St. Madeleine Sophie Catholic Parish,4400 130TH PL SE,98006.0,1311466.74017136,209441.077634349,-122.16585465446366,47.566365502386354
41,10000324,,800,Newport Covenant Church,Covenant Church,12800 COAL CREEK PKWY SE,98006.0,1310414.31183003,208696.116197765,-122.17006459790045,47.56427346935607
42,10000325,,800,Riverton Park United Methodist Church,United Methodist Church,3118 S 140TH ST,98168.0,1279653.08726336,177964.601873517,-122.29227992302451,47.47850544221233
43,10000326,,800,Hmong Seattle Alliance Church,Hmong Seattle Alliance Church,12855 MILITARY RD S,98168.0,1278291.48434353,181202.079650521,-122.29803414621816,47.487308453589506
44,10000327,,800,Faith Deliverance Assembly AOH Church,Faith Deliverance Assembly AOH Church,2642 S 138TH ST,98168.0,1278221.61342028,178599.196404859,-122.2981163234341,47.480170320454405
45,10000328,,800,Maple Valley Church,Maple Valley Church,22659 SWEENEY RD SE,98038.0,1339254.86635353,147206.036094189,-122.04932608852181,47.39703348044917
46,10000329,,800,Kent Covenant Church,Covenant Church,12010 SE 240TH ST,98031.0,1306849.63293578,144387.801901266,-122.17994330384822,47.38782934613917
47,10000330,,800,East Hill Friends Church,Friends Church,22600 116TH AVE SE,98031.0,1305411.74473543,148559.37951611,-122.18604285221937,47.399194767646534
48,10000340,,800,116 Church,116 Church,620 106TH AVE NE,98004.0,1303884.41937803,227693.99946177,-122.19787391973045,47.61603379889703
49,10000341,,800,The Church of Jesus Christ LDS,The Church of Jesus Christ LDS,32751 NE 45TH ST,98014.0,1376764.50819761,237823.623887524,-121.90298045363473,47.646960396036256
50,10000342,,800,Timberlake Church,Timberlake Church,4505 236TH AVE NE,98053.0,1346527.25469586,239009.330833688,-122.02571008014726,47.648992402437365
51,10000389,,800,Rose Hill Church,Rose Hill Church,12202 NE 90TH ST,98033.0,1309240.28366627,252080.448064104,-122.17788930999058,47.68313699292763
52,10000390,,800,Salt House Church,Salt House Church,11920 NE 80TH ST,98033.0,1308426.7334561,249479.272820264,-122.18100668010375,47.67596799398422
53,10000391,,800,Northwest Christian Church,Christian Church,7503 18TH AVE NW,98117.0,1259388.62418345,253123.03292118,-122.38031814130984,47.6834273213332
54,10000392,,800,Holy Innocents Catholic Church,Holy Innocents Catholic Church,26526 NE CHERRY VALLEY RD,98019.0,1357855.26287968,275070.564157277,-121.98194025263368,47.74831448017988
55,10000393,,800,"First Church of Christ, Scientist","First Church of Christ, Scientist",16911 NE 79TH ST,98052.0,1324736.19165078,247973.152472943,-122.1147111511636,47.672603298579816
56,10000395,,800,Eastside Christian Community Church,Christian Community Church,3615 164TH PL SE,98008.0,1322634.61481719,213373.728889763,-122.12089055195193,47.577666434421324
57,10000396,,800,Mercer Island Presbyterian Church,Presbyterian Church,3605 84TH AVE SE,98040.0,1296187.63687135,213894.273124278,-122.22806140450116,47.57782980096843
58,9010040,261300.0,901,Lake City Library Ballot Drop Box,Lake City Library (290),12501 28th Ave NE,98125.0,1279966.9698377,266075.900060028,-122.29779082594152,47.72003430431739
59,9010041,1070833.0,901,Skyway Library Ballot Drop Box,Skyway Library (450),12601 76th Ave S,98178.0,1293032.73996595,182179.16988793,-122.23849534216711,47.49074016854571
60,9010042,480301.0,901,NewHolly Neighborhood Campus Ballot Drop Box,NewHolly Neighborhood Campus (350),7054 32nd Ave S,98118.0,1280587.98992111,200126.759976938,-122.29019651510346,47.539300456962195
61,9010043,744749.0,901,Steve Cox Memorial Park Ballot Drop Box,Steve Cox Memorial Park (530),1321 SW 102nd St,98146.0,1265088.34998868,190405.249892443,-122.35215829439586,47.51183252387075
62,9010044,521592.0,901,South Park Library Ballot Drop Box,South Park Library (470),8604 8th Ave S,98108.0,1272449.47995144,195498.349942431,-122.32277668025834,47.52618695527237
63,9010045,460264.0,901,Rainier Community Center Ballot Drop Box,Rainier Community Center (380),4600 38th Ave S,98118.0,1282078.7900891,208211.600106433,-122.28477934543204,47.56153824529485
64,9010046,503894.0,901,Boulevard Park Library Ballot Drop Box,Boulevard Park Library (070),12015 Roseberg Ave S,98168.0,1275975.09002618,184183.920143515,-122.30763209145873,47.495360397894515
65,9010047,1006278.0,901,Rainier Beach Community Center Ballot Drop Box,Rainier Beach Community Center (370),8825 Rainier Ave S,98118.0,1285414.85001802,194781.020012274,-122.27025416803113,47.524896525132135
66,9010048,451194.0,901,Garfield Community Center Ballot Drop Box,Garfield Community Center (170),2323 E Cherry St,98122.0,1278217.24006943,225154.930064857,-122.30172609846466,47.60777905219159
67,9010049,925232.0,901,Magnolia Park Ballot Drop Box,Magnolia Park (310),1461 Magnolia Blvd W,98199.0,1254687.44001627,235524.479863778,-122.39794738150101,47.634930460833324
68,9010050,251998.0,901,North Seattle College Ballot Drop Box,North Seattle College (360),9600 College Way N,98103.0,1270802.54000385,258264.410105601,-122.3343963509336,47.69813918918326
69,9010051,928430.0,901,South Lake Union Ballot Drop Box,South Lake Union (465),310 Terry Ave N,98109.0,1269590.58999994,230273.030064851,-122.33709600383071,47.621350988901895
70,9010052,16677.0,901,Shoreline Library Ballot Drop Box,Shoreline Library (440),345 NE 175th St,98155.0,1273518.31016286,279108.890070111,-122.32501058642384,47.755417807696695
71,9010053,2946642.0,901,Snoqualmie Library Ballot Drop Box,Snoqualmie Library (460),7824 Center Blvd SE,98065.0,1383692.57997136,195030.690116599,-121.87253219748361,47.529915221136626
72,9010054,734896.0,901,Tukwila Community Center Ballot Drop Box,Tukwila Community Center (490),12424 42nd Ave S,98168.0,1283236.52989961,182646.729976431,-122.27814716378936,47.491524498661015
73,9010055,532901.0,901,Vashon Library Ballot Drop Box,Vashon Library (520),17210 Vashon Hwy SW,98070.0,1238045.07992835,168684.509869441,-122.45970431886299,47.450782829804666
74,9010056,162068.0,901,Woodinville Library Ballot Drop Box,Woodinville Library (540),17105 Avondale Rd NE,98072.0,1333260.19002269,276732.219954684,-122.0820115178085,47.75181914675704
75,1280,0.0,600,North SeaTac Park,North Seatac Park,S 136th St & Des Moines Memorial Dr,98168.0,1275305.26787503,179712.452052355,-122.30999405351629,47.483068956877666
76,6007220,0.0,600,3001 E Madison,3001 E Madison,3001 E Madison,98112.0,1280437.96102169,231464.834111691,-122.29321045523731,47.62519027728779
77,6007024,0.0,600,Cascade Playground,Cascade Playground,333 Pontius Ave N,98109.0,1270761.37309144,230333.815048277,-122.33235428323358,47.6215802142659
78,6007166,0.0,600,McGraw Square,McGraw Square,Stewart St and Westlake Ave N,98104.0,1269407.54410619,227227.907874271,-122.33759675308701,47.6129946067529
79,10000397,,800,Lakeridge Lutheran Church,Lutheran Church,7465 S 112TH ST,98178.0,1293121.48946036,186425.099060103,-122.23844998224875,47.502382847621526
80,10000907,,800,The Church of God in Seattle,The Church of God,4716 BEACON AVE S,98108.0,1277256.28792311,207944.758448526,-122.30428748690784,47.56055581960864
81,10000398,,800,Medhane Alem Eritrean Orthodox Tewahedo Church,Eritrean Orthodox Tewahedo Church,11800 RENTON AVE S,98178.0,1290985.86643502,184780.362520188,-122.24696630880638,47.497767354965944
82,10000399,,800,The Church of Jesus Christ LDS,The Church of Jesus Christ LDS,8220 S 126TH ST,98178.0,1295233.01246828,182140.329742521,-122.22959438685962,47.49074349100597
83,10000400,,800,St. Paul's of Shorewood Lutheran,St. Paul's of Shorewood Lutheran,11620 21ST AVE SW,98146.0,1263118.37722261,185639.217429772,-122.35974552091464,47.49866219692191
84,10000401,,800,Generational Hope Church,Generational Hope Church,26040 SE 216TH ST,98038.0,1353255.94202586,151380.432929099,-121.99305707442304,47.40906860724867
85,10000402,,800,Wayside United Church of Christ,Wayside United Church of Christ,2000 SW DASH POINT RD,98023.0,1261741.48791602,121108.911123186,-122.3601356387833,47.321713322208986
86,10000403,,800,Muckleshoot Smokehouse,Muckleshoot Smokehouse,40500 AUBURN ENUMCLAW RD SE,98092.0,1323820.81749727,89704.7462413609,-122.10778801082871,47.23873136493256
87,10000404,,800,Deeper Church,Deeper Church,15434 10TH AVE SW,98166.0,1266064.85820627,172914.489926517,-122.34681591031999,47.463943812317154
88,10000405,,800,Greater Friendship Missionary Baptist Church,Greater Friendship Missionary Baptist ,2621 E UNION ST,98122.0,1279230.43358111,226909.516122609,-122.2977548465824,47.61264128352988
89,10000407,,800,The Church of Jesus Christ LDS,The Church of Jesus Christ LDS,3925 15TH AVE NE,98105.0,1275881.19192003,242083.569107771,-122.31251332832919,47.65405756643813
90,10000408,,800,Seattle Vineyard Church,Seattle Vineyard Church,4142 BROOKLYN AVE NE,98105.0,1275539.15618677,243576.837118611,-122.31401743717961,47.658132551639866
